offense,offense_conference,pass_rush,explosive_rate,team_explosive_rate,count
Abilene Christian,,Pass,0.0964912280701754,0.0761421319796954,114
Abilene Christian,,Rush,0.0481927710843374,0.0761421319796954,83
Air Force,Mountain West,Pass,0.126984126984127,0.14745308310992,63
Air Force,Mountain West,Rush,0.151612903225806,0.14745308310992,310
Akron,Mid-American,Pass,0.0632183908045977,0.105849582172702,174
Akron,Mid-American,Rush,0.145945945945946,0.105849582172702,185
Alabama,SEC,Pass,0.161797752808989,0.144444444444444,445
Alabama,SEC,Rush,0.127472527472527,0.144444444444444,455
Appalachian State,Sun Belt,Pass,0.0849056603773585,0.106888361045131,318
Appalachian State,Sun Belt,Rush,0.120229007633588,0.106888361045131,524
Arizona,Pac-12,Pass,0.0536585365853659,0.0831099195710456,205
Arizona,Pac-12,Rush,0.119047619047619,0.0831099195710456,168
Arizona State,Pac-12,Pass,0.106382978723404,0.13671875,94
Arizona State,Pac-12,Rush,0.154320987654321,0.13671875,162
Arkansas,SEC,Pass,0.104761904761905,0.103857566765579,315
Arkansas,SEC,Rush,0.103064066852368,0.103857566765579,359
Arkansas State,Sun Belt,Pass,0.137014314928425,0.113341204250295,489
Arkansas State,Sun Belt,Rush,0.0810055865921788,0.113341204250295,358
Army,FBS Independents,Pass,0.119047619047619,0.0960809102402023,84
Army,FBS Independents,Rush,0.0933521923620934,0.0960809102402023,707
Auburn,SEC,Pass,0.0887728459530026,0.106100795755968,383
Auburn,SEC,Rush,0.123989218328841,0.106100795755968,371
Austin Peay,,Pass,0.0533333333333333,0.0461538461538462,75
Austin Peay,,Rush,0.0363636363636364,0.0461538461538462,55
Ball State,Mid-American,Pass,0.1125,0.104204753199269,240
Ball State,Mid-American,Rush,0.0977198697068404,0.104204753199269,307
Baylor,Big 12,Pass,0.0722222222222222,0.0733652312599681,360
Baylor,Big 12,Rush,0.0749063670411985,0.0733652312599681,267
Boise State,Mountain West,Pass,0.0847457627118644,0.0776053215077605,236
Boise State,Mountain West,Rush,0.0697674418604651,0.0776053215077605,215
Boston College,ACC,Pass,0.103626943005181,0.0948905109489051,386
Boston College,ACC,Rush,0.0836120401337793,0.0948905109489051,299
Bowling Green,Mid-American,Pass,0.103703703703704,0.105095541401274,135
Bowling Green,Mid-American,Rush,0.106145251396648,0.105095541401274,179
Buffalo,Mid-American,Pass,0.121794871794872,0.146288209606987,156
Buffalo,Mid-American,Rush,0.158940397350993,0.146288209606987,302
BYU,FBS Independents,Pass,0.164102564102564,0.15375,390
BYU,FBS Independents,Rush,0.14390243902439,0.15375,410
California,Pac-12,Pass,0.038961038961039,0.0627177700348432,154
California,Pac-12,Rush,0.0902255639097744,0.0627177700348432,133
Campbell,,Pass,0.108333333333333,0.0757575757575758,120
Campbell,,Rush,0.0486111111111111,0.0757575757575758,144
Central Arkansas,,Pass,0.0588235294117647,0.0849673202614379,102
Central Arkansas,,Rush,0.137254901960784,0.0849673202614379,51
Central Michigan,Mid-American,Pass,0.0752688172043011,0.08584686774942,186
Central Michigan,Mid-American,Rush,0.0938775510204082,0.08584686774942,245
Charlotte,Conference USA,Pass,0.117948717948718,0.101449275362319,195
Charlotte,Conference USA,Rush,0.0867579908675799,0.101449275362319,219
Chattanooga,,Pass,0.04,0.0461538461538462,25
Chattanooga,,Rush,0.05,0.0461538461538462,40
Cincinnati,American Athletic,Pass,0.0964630225080386,0.115898959881129,311
Cincinnati,American Athletic,Rush,0.132596685082873,0.115898959881129,362
Clemson,ACC,Pass,0.134122287968442,0.128205128205128,507
Clemson,ACC,Rush,0.120512820512821,0.128205128205128,390
Coastal Carolina,Sun Belt,Pass,0.146666666666667,0.138231631382316,300
Coastal Carolina,Sun Belt,Rush,0.133200795228628,0.138231631382316,503
Colorado,Pac-12,Pass,0.114754098360656,0.111111111111111,183
Colorado,Pac-12,Rush,0.108614232209738,0.111111111111111,267
Colorado State,Mountain West,Pass,0.125,0.102564102564103,128
Colorado State,Mountain West,Rush,0.0827586206896552,0.102564102564103,145
Duke,ACC,Pass,0.0628272251308901,0.0886243386243386,382
Duke,ACC,Rush,0.114973262032086,0.0886243386243386,374
East Carolina,American Athletic,Pass,0.09375,0.108433734939759,288
East Carolina,American Athletic,Rush,0.122866894197952,0.108433734939759,293
Eastern Kentucky,,Pass,0.111111111111111,0.0862068965517242,90
Eastern Kentucky,,Rush,0.0595238095238095,0.0862068965517242,84
Eastern Michigan,Mid-American,Pass,0.0841121495327103,0.0789473684210526,214
Eastern Michigan,Mid-American,Rush,0.0735294117647059,0.0789473684210526,204
Florida,SEC,Pass,0.152046783625731,0.127417519908987,513
Florida,SEC,Rush,0.092896174863388,0.127417519908987,366
Florida Atlantic,Conference USA,Pass,0.0695652173913044,0.0881226053639847,230
Florida Atlantic,Conference USA,Rush,0.102739726027397,0.0881226053639847,292
Florida International,Conference USA,Pass,0.0410958904109589,0.0759075907590759,146
Florida International,Conference USA,Rush,0.10828025477707,0.0759075907590759,157
Florida State,ACC,Pass,0.0694006309148265,0.117370892018779,317
Florida State,ACC,Rush,0.164596273291925,0.117370892018779,322
Fresno State,Mountain West,Pass,0.0962962962962963,0.101731601731602,270
Fresno State,Mountain West,Rush,0.109375,0.101731601731602,192
Georgia,SEC,Pass,0.12,0.107038123167155,325
Georgia,SEC,Rush,0.0952380952380952,0.107038123167155,357
Georgia Southern,Sun Belt,Pass,0.105263157894737,0.116851168511685,190
Georgia Southern,Sun Belt,Rush,0.120385232744783,0.116851168511685,623
Georgia State,Sun Belt,Pass,0.123028391167192,0.116621983914209,317
Georgia State,Sun Belt,Rush,0.111888111888112,0.116621983914209,429
Georgia Tech,ACC,Pass,0.11400651465798,0.133526850507983,307
Georgia Tech,ACC,Rush,0.149214659685864,0.133526850507983,382
Hawai'i,Mountain West,Pass,0.0641399416909621,0.0907668231611894,343
Hawai'i,Mountain West,Rush,0.121621621621622,0.0907668231611894,296
Houston,American Athletic,Pass,0.105431309904153,0.100169779286927,313
Houston,American Athletic,Rush,0.0942028985507246,0.100169779286927,276
Houston Baptist,,Pass,0.111731843575419,0.092741935483871,179
Houston Baptist,,Rush,0.0434782608695652,0.092741935483871,69
Illinois,Big Ten,Pass,0.131067961165049,0.124271844660194,206
Illinois,Big Ten,Rush,0.119741100323625,0.124271844660194,309
Indiana,Big Ten,Pass,0.0863787375415282,0.0761061946902655,301
Indiana,Big Ten,Rush,0.0643939393939394,0.0761061946902655,264
Iowa,Big Ten,Pass,0.0730769230769231,0.0957642725598527,260
Iowa,Big Ten,Rush,0.11660777385159,0.0957642725598527,283
Iowa State,Big 12,Pass,0.11139896373057,0.112590799031477,386
Iowa State,Big 12,Rush,0.113636363636364,0.112590799031477,440
Jacksonville State,,Pass,0.120689655172414,0.120300751879699,58
Jacksonville State,,Rush,0.12,0.120300751879699,75
Kansas,Big 12,Pass,0.0464396284829721,0.0676100628930818,323
Kansas,Big 12,Rush,0.0894568690095847,0.0676100628930818,313
Kansas State,Big 12,Pass,0.111538461538462,0.115,260
Kansas State,Big 12,Rush,0.117647058823529,0.115,340
Kent State,Mid-American,Pass,0.137404580152672,0.138461538461538,131
Kent State,Mid-American,Rush,0.139175257731959,0.138461538461538,194
Kentucky,SEC,Pass,0.0658914728682171,0.0979228486646884,258
Kentucky,SEC,Rush,0.117788461538462,0.0979228486646884,416
Liberty,FBS Independents,Pass,0.116564417177914,0.146310432569975,326
Liberty,FBS Independents,Rush,0.167391304347826,0.146310432569975,460
Louisiana,Sun Belt,Pass,0.104761904761905,0.125170068027211,315
Louisiana,Sun Belt,Rush,0.14047619047619,0.125170068027211,420
Louisiana Monroe,Sun Belt,Pass,0.0660146699266504,0.0743670886075949,409
Louisiana Monroe,Sun Belt,Rush,0.0896860986547085,0.0743670886075949,223
Louisiana Tech,Conference USA,Pass,0.0644329896907216,0.0613409415121255,388
Louisiana Tech,Conference USA,Rush,0.0575079872204473,0.0613409415121255,313
Louisville,ACC,Pass,0.12280701754386,0.138964577656676,342
Louisville,ACC,Rush,0.153061224489796,0.138964577656676,392
LSU,SEC,Pass,0.0966292134831461,0.0818414322250639,445
LSU,SEC,Rush,0.0623145400593472,0.0818414322250639,337
Marshall,Conference USA,Pass,0.10580204778157,0.109281437125749,293
Marshall,Conference USA,Rush,0.112,0.109281437125749,375
Maryland,Big Ten,Pass,0.104651162790698,0.120521172638437,172
Maryland,Big Ten,Rush,0.140740740740741,0.120521172638437,135
Memphis,American Athletic,Pass,0.119909502262443,0.120098039215686,442
Memphis,American Athletic,Rush,0.120320855614973,0.120098039215686,374
Mercer,,Pass,0.04,0.0357142857142857,25
Mercer,,Rush,0.032258064516129,0.0357142857142857,31
Miami,ACC,Pass,0.114634146341463,0.11639549436796,410
Miami,ACC,Rush,0.118251928020566,0.11639549436796,389
Miami (OH),Mid-American,Pass,0.166666666666667,0.135135135135135,54
Miami (OH),Mid-American,Rush,0.105263157894737,0.135135135135135,57
Michigan,Big Ten,Pass,0.118181818181818,0.111979166666667,220
Michigan,Big Ten,Rush,0.103658536585366,0.111979166666667,164
Michigan State,Big Ten,Pass,0.0930232558139535,0.0769230769230769,258
Michigan State,Big Ten,Rush,0.0582959641255605,0.0769230769230769,223
Middle Tennessee,Conference USA,Pass,0.0900900900900901,0.0914826498422713,333
Middle Tennessee,Conference USA,Rush,0.0930232558139535,0.0914826498422713,301
Minnesota,Big Ten,Pass,0.123711340206186,0.117400419287212,194
Minnesota,Big Ten,Rush,0.113074204946996,0.117400419287212,283
Mississippi State,SEC,Pass,0.0626057529610829,0.0659630606860158,591
Mississippi State,SEC,Rush,0.0778443113772455,0.0659630606860158,167
Missouri,SEC,Pass,0.1,0.0955777460770328,370
Missouri,SEC,Rush,0.0906344410876133,0.0955777460770328,331
Missouri State,,Pass,0.0384615384615385,0.0652173913043478,26
Missouri State,,Rush,0.1,0.0652173913043478,20
Navy,American Athletic,Pass,0.116438356164384,0.0889621087314662,146
Navy,American Athletic,Rush,0.0802603036876356,0.0889621087314662,461
NC State,ACC,Pass,0.127906976744186,0.117788461538462,430
NC State,ACC,Rush,0.106965174129353,0.117788461538462,402
Nebraska,Big Ten,Pass,0.0823045267489712,0.10873440285205,243
Nebraska,Big Ten,Rush,0.128930817610063,0.10873440285205,318
Nevada,Mountain West,Pass,0.101063829787234,0.116393442622951,376
Nevada,Mountain West,Rush,0.141025641025641,0.116393442622951,234
New Mexico,Mountain West,Pass,0.0779220779220779,0.101190476190476,231
New Mexico,Mountain West,Rush,0.120879120879121,0.101190476190476,273
North Alabama,,Pass,0.0747663551401869,0.0571428571428571,107
North Alabama,,Rush,0.0294117647058824,0.0571428571428571,68
North Carolina,ACC,Pass,0.140664961636829,0.17432273262662,391
North Carolina,ACC,Rush,0.203056768558952,0.17432273262662,458
North Texas,Conference USA,Pass,0.135977337110482,0.125802310654686,353
North Texas,Conference USA,Rush,0.117370892018779,0.125802310654686,426
Northern Illinois,Mid-American,Pass,0.076271186440678,0.083710407239819,236
Northern Illinois,Mid-American,Rush,0.0922330097087379,0.083710407239819,206
Northwestern,Big Ten,Pass,0.0641891891891892,0.0756676557863502,296
Northwestern,Big Ten,Rush,0.0846560846560847,0.0756676557863502,378
Notre Dame,FBS Independents,Pass,0.106770833333333,0.123986095017381,384
Notre Dame,FBS Independents,Rush,0.137787056367432,0.123986095017381,479
Ohio,Mid-American,Pass,0.142857142857143,0.146198830409357,63
Ohio,Mid-American,Rush,0.148148148148148,0.146198830409357,108
Ohio State,Big Ten,Pass,0.122448979591837,0.148148148148148,245
Ohio State,Big Ten,Rush,0.167701863354037,0.148148148148148,322
Oklahoma,Big 12,Pass,0.140625,0.136246786632391,384
Oklahoma,Big 12,Rush,0.131979695431472,0.136246786632391,394
Oklahoma State,Big 12,Pass,0.10958904109589,0.118623962040332,365
Oklahoma State,Big 12,Rush,0.125523012552301,0.118623962040332,478
Ole Miss,SEC,Pass,0.149206349206349,0.133891213389121,315
Ole Miss,SEC,Rush,0.121890547263682,0.133891213389121,402
Oregon,Pac-12,Pass,0.119402985074627,0.138173302107728,201
Oregon,Pac-12,Rush,0.154867256637168,0.138173302107728,226
Oregon State,Pac-12,Pass,0.0571428571428571,0.0855397148676171,245
Oregon State,Pac-12,Rush,0.113821138211382,0.0855397148676171,246
Penn State,Big Ten,Pass,0.101796407185629,0.096045197740113,334
Penn State,Big Ten,Rush,0.0909090909090909,0.096045197740113,374
Pittsburgh,ACC,Pass,0.0844444444444445,0.0897908979089791,450
Pittsburgh,ACC,Rush,0.0964187327823691,0.0897908979089791,363
Purdue,Big Ten,Pass,0.0875912408759124,0.0898058252427185,274
Purdue,Big Ten,Rush,0.0942028985507246,0.0898058252427185,138
Rice,Conference USA,Pass,0.115646258503401,0.0843023255813954,147
Rice,Conference USA,Rush,0.0609137055837564,0.0843023255813954,197
Rutgers,Big Ten,Pass,0.0696969696969697,0.0811638591117917,330
Rutgers,Big Ten,Rush,0.0928792569659443,0.0811638591117917,323
San Diego State,Mountain West,Pass,0.0639269406392694,0.0889679715302491,219
San Diego State,Mountain West,Rush,0.104956268221574,0.0889679715302491,343
San José State,Mountain West,Pass,0.138983050847458,0.125954198473282,295
San José State,Mountain West,Rush,0.109170305676856,0.125954198473282,229
SMU,American Athletic,Pass,0.129113924050633,0.13031914893617,395
SMU,American Athletic,Rush,0.131652661064426,0.13031914893617,357
South Alabama,Sun Belt,Pass,0.10230179028133,0.0948051948051948,391
South Alabama,Sun Belt,Rush,0.0870712401055409,0.0948051948051948,379
South Carolina,SEC,Pass,0.0838509316770186,0.10806697108067,322
South Carolina,SEC,Rush,0.13134328358209,0.10806697108067,335
South Florida,American Athletic,Pass,0.0668896321070234,0.0953206239168111,299
South Florida,American Athletic,Rush,0.12589928057554,0.0953206239168111,278
Southern Mississippi,Conference USA,Pass,0.101694915254237,0.11128526645768,295
Southern Mississippi,Conference USA,Rush,0.119533527696793,0.11128526645768,343
Stanford,Pac-12,Pass,0.11353711790393,0.0900243309002433,229
Stanford,Pac-12,Rush,0.0604395604395604,0.0900243309002433,182
Stephen F. Austin,,Pass,0.0757575757575758,0.0669456066945607,132
Stephen F. Austin,,Rush,0.0560747663551402,0.0669456066945607,107
Syracuse,ACC,Pass,0.0645161290322581,0.0720858895705521,372
Syracuse,ACC,Rush,0.0821428571428571,0.0720858895705521,280
TCU,Big 12,Pass,0.0884353741496599,0.113235294117647,294
TCU,Big 12,Rush,0.132124352331606,0.113235294117647,386
Temple,American Athletic,Pass,0.0753968253968254,0.0688336520076482,252
Temple,American Athletic,Rush,0.0627306273062731,0.0688336520076482,271
Tennessee,SEC,Pass,0.0977917981072555,0.0966767371601208,317
Tennessee,SEC,Rush,0.0956521739130435,0.0966767371601208,345
Texas,Big 12,Pass,0.10958904109589,0.123422159887798,365
Texas,Big 12,Rush,0.137931034482759,0.123422159887798,348
Texas A&M,SEC,Pass,0.0870870870870871,0.120665742024965,333
Texas A&M,SEC,Rush,0.149484536082474,0.120665742024965,388
Texas State,Sun Belt,Pass,0.1,0.121290322580645,430
Texas State,Sun Belt,Rush,0.147826086956522,0.121290322580645,345
Texas Tech,Big 12,Pass,0.0829268292682927,0.0889192886456908,410
Texas Tech,Big 12,Rush,0.0965732087227414,0.0889192886456908,321
The Citadel,,Pass,0.108695652173913,0.0913978494623656,46
The Citadel,,Rush,0.0857142857142857,0.0913978494623656,140
Toledo,Mid-American,Pass,0.116379310344828,0.130151843817787,232
Toledo,Mid-American,Rush,0.14410480349345,0.130151843817787,229
Troy,Sun Belt,Pass,0.0857740585774059,0.0931122448979592,478
Troy,Sun Belt,Rush,0.104575163398693,0.0931122448979592,306
Tulane,American Athletic,Pass,0.0862068965517242,0.120772946859903,348
Tulane,American Athletic,Rush,0.145833333333333,0.120772946859903,480
Tulsa,American Athletic,Pass,0.0856269113149847,0.104387291981846,327
Tulsa,American Athletic,Rush,0.122754491017964,0.104387291981846,334
UAB,Conference USA,Pass,0.104838709677419,0.0967213114754098,248
UAB,Conference USA,Rush,0.0911602209944751,0.0967213114754098,362
UCF,American Athletic,Pass,0.132867132867133,0.125586854460094,429
UCF,American Athletic,Rush,0.118203309692671,0.125586854460094,423
UCLA,Pac-12,Pass,0.104265402843602,0.108108108108108,211
UCLA,Pac-12,Rush,0.110749185667752,0.108108108108108,307
UMass,FBS Independents,Pass,0.0636363636363636,0.0691244239631337,110
UMass,FBS Independents,Rush,0.0747663551401869,0.0691244239631337,107
UNLV,Mountain West,Pass,0.0695652173913044,0.0962441314553991,230
UNLV,Mountain West,Rush,0.127551020408163,0.0962441314553991,196
USC,Pac-12,Pass,0.10431654676259,0.0894854586129754,278
USC,Pac-12,Rush,0.0650887573964497,0.0894854586129754,169
UT San Antonio,Conference USA,Pass,0.0997150997150997,0.122320302648171,351
UT San Antonio,Conference USA,Rush,0.14027149321267,0.122320302648171,442
Utah,Pac-12,Pass,0.0858895705521472,0.113372093023256,163
Utah,Pac-12,Rush,0.138121546961326,0.113372093023256,181
Utah State,Mountain West,Pass,0.0601092896174863,0.0831024930747923,183
Utah State,Mountain West,Rush,0.106741573033708,0.0831024930747923,178
UTEP,Conference USA,Pass,0.088,0.0817843866171004,250
UTEP,Conference USA,Rush,0.0763888888888889,0.0817843866171004,288
Vanderbilt,SEC,Pass,0.0719424460431655,0.0720720720720721,278
Vanderbilt,SEC,Rush,0.072202166064982,0.0720720720720721,277
Virginia,ACC,Pass,0.0858585858585859,0.0889487870619946,396
Virginia,ACC,Rush,0.092485549132948,0.0889487870619946,346
Virginia Tech,ACC,Pass,0.12,0.148965517241379,275
Virginia Tech,ACC,Rush,0.166666666666667,0.148965517241379,450
Wake Forest,ACC,Pass,0.118694362017804,0.106104651162791,337
Wake Forest,ACC,Rush,0.094017094017094,0.106104651162791,351
Washington,Pac-12,Pass,0.107142857142857,0.105263157894737,112
Washington,Pac-12,Rush,0.103896103896104,0.105263157894737,154
Washington State,Pac-12,Pass,0.0869565217391304,0.110687022900763,161
Washington State,Pac-12,Rush,0.148514851485149,0.110687022900763,101
West Virginia,Big 12,Pass,0.0952380952380952,0.101851851851852,420
West Virginia,Big 12,Rush,0.110119047619048,0.101851851851852,336
Western Carolina,,Pass,0.037037037037037,0.062992125984252,54
Western Carolina,,Rush,0.0821917808219178,0.062992125984252,73
Western Kentucky,Conference USA,Pass,0.0354430379746835,0.0633245382585752,395
Western Kentucky,Conference USA,Rush,0.09366391184573,0.0633245382585752,363
Western Michigan,Mid-American,Pass,0.149068322981366,0.12853470437018,161
Western Michigan,Mid-American,Rush,0.114035087719298,0.12853470437018,228
Wisconsin,Big Ten,Pass,0.0610328638497653,0.0816326530612245,213
Wisconsin,Big Ten,Rush,0.0974729241877256,0.0816326530612245,277
Wyoming,Mountain West,Pass,0.120805369127517,0.119804400977995,149
Wyoming,Mountain West,Rush,0.119230769230769,0.119804400977995,260
