down,distance,expected_success_rate,count
1,0,0.99018148417952,31573
1,1,0.589671737389912,2498
1,2,0.675856307435255,2394
1,3,0.560894386298763,2102
1,4,0.598684210526316,1976
1,5,0.513490725126476,3558
1,6,0.489754098360656,1952
1,7,0.445717131474104,2008
1,8,0.422818791946309,2086
1,9,0.353986135181976,2308
1,10,0.418746110145354,326169
1,11,0.304635761589404,151
1,12,0.389221556886228,167
1,13,0.313186813186813,182
1,14,0.29957805907173,237
1,15,0.289964699949571,5949
1,16,0.321782178217822,202
1,17,0.302040816326531,245
1,18,0.248888888888889,225
1,19,0.255707762557078,219
1,20,0.253753203954595,2731
1,21,0.205882352941176,102
1,22,0.185483870967742,124
1,25,0.257847533632287,892
1,65,0.0150375939849624,133
2,0,0.900172117039587,1162
2,1,0.693207044546396,13514
2,2,0.602954526698028,12117
2,3,0.51731884057971,13800
2,4,0.551802493398022,16283
2,5,0.484558568383483,20173
2,6,0.409679007924072,22337
2,7,0.415470163499046,24098
2,8,0.359822560202788,23670
2,9,0.323456414931875,19743
2,10,0.332005312084993,57981
2,11,0.286836734693878,9800
2,12,0.261763488340003,7247
2,13,0.236296448367892,4871
2,14,0.228483319315952,3567
2,15,0.228675136116152,4408
2,16,0.185411764705882,2125
2,17,0.180787911494873,1853
2,18,0.173527549081697,1579
2,19,0.16607460035524,1126
2,20,0.16984213391399,1837
2,21,0.148809523809524,672
2,22,0.12701252236136,559
2,23,0.124705882352941,425
2,24,0.158576051779935,309
2,25,0.104330708661417,508
2,26,0.0860927152317881,151
2,27,0.0892857142857143,112
3,0,0.927387529597474,1267
3,1,0.677560666320825,17349
3,2,0.554958227388304,13765
3,3,0.47611005559074,14211
3,4,0.443557502119243,14156
3,5,0.398554714384033,14530
3,6,0.360700334821429,14336
3,7,0.332727140467011,13747
3,8,0.312879613767326,12842
3,9,0.28358345534407,10928
3,10,0.277905602885393,16081
3,11,0.244028912633564,6364
3,12,0.204324979789814,4948
3,13,0.193149626577389,3883
3,14,0.171855146124524,3148
3,15,0.164126984126984,3150
3,16,0.138145315487572,2092
3,17,0.118267629094947,1801
3,18,0.113747383112352,1433
3,19,0.0955690703735882,1151
3,20,0.0964143426294821,1255
3,21,0.0811153358681876,789
3,22,0.0735042735042735,585
3,23,0.0527472527472528,455
3,24,0.0702702702702703,370
3,25,0.0552631578947368,380
3,26,0.0653266331658292,199
3,27,0.0487804878048781,164
3,28,0.0387596899224806,129
3,29,0.0566037735849057,106
4,0,0.959667852906287,843
4,1,0.464003329171869,12015
4,2,0.400156412930136,7672
4,3,0.385387188062773,7774
4,4,0.383289124668435,7540
4,5,0.375032010243278,7810
4,6,0.362162162162162,7585
4,7,0.346819988642817,7044
4,8,0.330812282559371,6611
4,9,0.312533238787449,5641
4,10,0.303886925795053,7075
4,11,0.283215870529888,3831
4,12,0.264367816091954,3219
4,13,0.268684603886398,2676
4,14,0.242574257425743,2424
4,15,0.230670653566852,2341
4,16,0.219382321618743,1878
4,17,0.192257217847769,1524
4,18,0.189465408805031,1272
4,19,0.166166166166166,999
4,20,0.160123966942149,968
4,21,0.174094707520891,718
4,22,0.147329650092081,543
4,23,0.126126126126126,444
4,24,0.135593220338983,354
4,25,0.163141993957704,331
4,26,0.120535714285714,224
4,27,0.117283950617284,162
4,28,0.117647058823529,136
4,29,0.091743119266055,109
